21 	 1	 rétta	 2 	 {'$réttaði', 'rétti'}
21 	 S	 falla	 1 	 {'féllu', 'félli', 'féllst', 'féll'}
20 	 2	 vanta	 1 	 {'vantaði'}
19 	 S	 slá	 0 	 {'sló', 'slógu', 'slógum'}
19 	 2	 vakna	 1 	 {'vöknuðu', 'vaknaði'}
19 	 S	 grípa	 2 	 {'gripi', 'greip', 'gripu'}
19 	 S	 bregða	 24 	 {'brugðist', 'brá', 'brygði', 'brugðu'}
18 	 1	 benda	 24 	 {'bendum', 'benti', 'bentu'}
17 	 1	 lýsa	 2 	 {'lýstu', 'lýsti', '$lýsti'}
17 	 1	 bæta	 23 	 {'bætti', 'bættust', 'bættist', 'bætist'}
17 	 2	 opna	 1 	 {'opnuðust', 'opnaði', 'opnaðist'}
17 	 1	 brosa	 1 	 {'brosti'}
16 	 S	 ákveða	 124 	 {'ákváðum', 'ákvað'}
16 	 S	 hverfa	 24 	 {'hurfu', 'hvarf', '$hverfðist', 'hyrfi'}
15 	 1	 missa	 24 	 {'misstu', 'misti', 'missti'}
14 	 S	 lesa	 24 	 {'las', 'lestu', 'læsi'}
14 	 1	 fylla	 24 	 {'fyltu', 'fylltist', 'fylltu', 'fyllti', 'fylti'}
14 	 S	 drekka	 24 	 {'drukkum', 'drykki', 'drukku', 'drakk'}
14 	 1	 gleyma	 243 	 {'gleymdist', 'gleymdu', 'gleym$', 'gleymdi', 'gleymdust'}
14 	 S	 stinga	 24 	 {'stungu', 'stakkst', 'stakk', 'stakst', 'styngju'}
13 	 1	 hitta	 24 	 {'hitti', 'hittu', 'hittumst', 'hittust'}
13 	 S	 hlaupa	 1 	 {'hljóp', 'hlupu'}
13 	 1	 veita	 24 	 {'veitti'}
13 	 1	 kveðja	 j24 	 {'kvaddi', 'kvöddust', 'kvöddumst', 'kvöddu'}
13 	 S	 ráða	 1 	 {'réð', '$réð', 'réðu', 'réði', 'réðst', 'réðum'}
13 	 2	 hvarfla	 1 	 {'hvarflaði'}
13 	 1	 færa	 23 	 {'færðust', 'færðu', 'færði'}
13 	 1	 birta	 24 	 {'birtust', 'birtist', 'birti'}
13 	 1	 sækja	 j23 	 {'sæktuð', 'sótti', 'sóttum', 'sóttu', 'sóttist'}
12 	 S	 fljúga	 1 	 {'flaug', 'flugu', 'flygi'}
12 	 1	 kaupa	 1 	 {'keypti', 'keyptu', 'keyptir'}
12 	 2	 átta	 1 	 {'áttaði'}
12 	 1	 þegja	 j24 	 {'þögðu', 'þagði'}
12 	 S	 lúta	 1 	 {'lyti', 'lutu', 'laut'}
12 	 1	 lifa	 24 	 {'(vbdi lifði', 'lifðu', 'lifðum', 'lifði'}
12 	 2	 dansa	 1 	 {'dönsuðum', 'dönsuðu', 'dansaði'}
12 	 1	 vilja	 j24 	 {'vildi', 'vilduð'}
12 	 2	 spila	 24 	 {'spiluðum', 'spiluðuð', 'spilaði', 'spiluðu'}
12 	 S	 leika	 24 	 {'lékum', 'lék', 'léki', 'léku'}
11 	 1	 þora	 1 	 {'þorðu', 'þorði'}
11 	 1	 lenda	 24 	 {'lenti', 'lentu'}
11 	 1	 skipta	 24 	 {'skiptust', 'skipti', 'skiptumst'}
11 	 1	 senda	 24 	 {'$sendi', 'sendi', 'sendum', 'sentist'}
11 	 2	 hlusta	 1 	 {'hlustaði', 'hlustuðu'}
11 	 2	 nota	 1 	 {'notuðu', 'notaði'}
10 	 1	 ríkja	 j2 	 {'ríkti'}
10 	 S	 skína	 2 	 {'skein'}
10 	 1	 kveikja	 j24 	 {'kveiktu', 'kveikti'}
10 	 S	 ríða	 2 	 {'riðu', 'reið', 'riði'}
10 	 1	 minna	 24 	 {'minti', 'minntist', 'mintu', 'minntu', 'minnti'}
10 	 1	 hrista	 24 	 {'hristu', 'hristi', 'hristust'}
10 	 1	 mæta	 23 	 {'mættu', 'mætti', 'mætist', 'mættum', 'mættust'}
10 	 1	 hringja	 j24 	 {'hringdi'}
10 	 1	 nefna	 24 	 {'nefndi', 'nefndir$'}
10 	 1	 þola	 1 	 {'þoldi'}
10 	 S	 skjálfa	 1 	 {'skalf', 'skulfu'}
9 	 1	 hyggja	 j24 	 {'hygðist', 'hugðist', 'hugði'}
9 	 1	 duga	 1 	 {'dugðu', 'dygði', 'dugði'}
9 	 S	 syngja	 j24 	 {'sungum', 'söng'}
9 	 1	 berja	 j24 	 {'barðist', 'barði'}
9 	 1	 styðja	 j24 	 {'studdu', 'studdi', 'styddist', 'studdist'}
9 	 S	 strjúka	 1 	 {'strauk'}
9 	 1	 leiða	 24 	 {'leiddu', 'leiddi', 'leiddust'}
9 	 1	 lyfta	 24 	 {'lyftist', 'lyfti', 'lyftu'}
9 	 S	 sofa	 1 	 {'svaf'}
9 	 1	 enda	 24 	 {'entist', 'endaði'}
9 	 1	 henda	 24 	 {'$henti', '$hentu', 'henti'}
8 	 2	 mynda	 24 	 {'myndaðist', 'mynduðu', 'myndaði', '$myndaðist', 'mynduðum'}
8 	 S	 rífa	 2 	 {'reif', 'rifu'}
8 	 S	 hrökkva	 1 	 {'hrökk', 'hrökkti'}
