lexsize	fname	genre	typecount	allcount	is_adult	is_nonacad	theta	prod
100	sample_cds_275_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_386_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_894_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_988_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_609_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_782_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_648_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_554_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_697_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_933_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_325_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_241_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_856_top100.txt	cds	50	100	False	True	21.71472409516259	FALSE
100	sample_cds_132_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_87_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_161_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_888_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_81_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_78_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_987_top100.txt	cds	55	100	False	True	21.71472409516259	FALSE
100	sample_cds_573_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_575_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_630_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_45_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_828_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_287_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_742_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_270_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_99_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_313_top100.txt	cds	55	100	False	True	21.71472409516259	FALSE
100	sample_cds_818_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_163_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_8_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_213_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_815_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_724_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_111_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_939_top100.txt	cds	50	100	False	True	21.71472409516259	FALSE
100	sample_cds_475_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_592_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_108_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_222_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_517_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_640_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_207_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_501_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_421_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_566_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_19_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_507_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_135_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_539_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_240_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_718_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_520_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_955_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_691_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_803_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_571_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_226_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_535_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_334_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_306_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_645_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_726_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_538_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_94_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_957_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_533_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_63_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_564_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_880_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_440_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_598_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_672_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_437_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_465_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_34_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_881_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_716_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_266_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_852_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_808_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_470_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_174_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_488_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_769_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_263_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_119_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_845_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_509_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_627_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_290_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_502_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_164_top100.txt	cds	49	100	False	True	21.71472409516259	FALSE
100	sample_cds_706_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_557_top100.txt	cds	50	100	False	True	21.71472409516259	FALSE
100	sample_cds_959_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_536_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_453_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_177_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_522_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_587_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
100	sample_cds_322_top100.txt	cds	54	100	False	True	21.71472409516259	FALSE
100	sample_cds_745_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_523_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_735_top100.txt	cds	52	100	False	True	21.71472409516259	FALSE
100	sample_cds_812_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
100	sample_cds_569_top100.txt	cds	53	100	False	True	21.71472409516259	FALSE
