lexsize	fname	genre	typecount	allcount	is_adult	is_nonacad	theta	prod
100	wlp_acad_2008_top100.txt	acad	32	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1991_top100.txt	acad	34	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1999_top100.txt	acad	34	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2007_top100.txt	acad	34	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2012_top100.txt	acad	27	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2011_top100.txt	acad	35	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1997_top100.txt	acad	33	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2005_top100.txt	acad	31	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2006_top100.txt	acad	31	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1995_top100.txt	acad	34	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2010_top100.txt	acad	35	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1994_top100.txt	acad	33	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2003_top100.txt	acad	32	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2000_top100.txt	acad	33	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1990_top100.txt	acad	32	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2001_top100.txt	acad	33	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2004_top100.txt	acad	32	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1996_top100.txt	acad	33	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2009_top100.txt	acad	34	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1992_top100.txt	acad	32	100	True	False	21.71472409516259	FALSE
100	wlp_acad_2002_top100.txt	acad	33	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1993_top100.txt	acad	33	100	True	False	21.71472409516259	FALSE
100	wlp_acad_1998_top100.txt	acad	34	100	True	False	21.71472409516259	FALSE
100	wlp_fic_1997_top100.txt	fic	51	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2009_top100.txt	fic	48	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2006_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1991_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1999_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2004_top100.txt	fic	50	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2011_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2005_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2010_top100.txt	fic	47	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2007_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2001_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1992_top100.txt	fic	48	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1998_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1996_top100.txt	fic	50	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2002_top100.txt	fic	48	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2003_top100.txt	fic	49	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2008_top100.txt	fic	46	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1993_top100.txt	fic	50	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1994_top100.txt	fic	50	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2000_top100.txt	fic	50	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1990_top100.txt	fic	48	100	True	True	21.71472409516259	FALSE
100	wlp_fic_1995_top100.txt	fic	50	100	True	True	21.71472409516259	FALSE
100	wlp_fic_2012_top100.txt	fic	48	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2001_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2012_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2011_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1999_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1997_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2006_top100.txt	mag	48	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2004_top100.txt	mag	48	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2008_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1993_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2007_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2009_top100.txt	mag	49	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1996_top100.txt	mag	48	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1994_top100.txt	mag	46	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1990_top100.txt	mag	44	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1995_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2010_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2000_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2002_top100.txt	mag	48	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1992_top100.txt	mag	48	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2005_top100.txt	mag	48	100	True	True	21.71472409516259	FALSE
100	wlp_mag_2003_top100.txt	mag	47	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1998_top100.txt	mag	46	100	True	True	21.71472409516259	FALSE
100	wlp_mag_1991_top100.txt	mag	43	100	True	True	21.71472409516259	FALSE
100	wlp_news_2008_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_1990_top100.txt	news	44	100	True	True	21.71472409516259	FALSE
100	wlp_news_1994_top100.txt	news	48	100	True	True	21.71472409516259	FALSE
100	wlp_news_2004_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_1999_top100.txt	news	47	100	True	True	21.71472409516259	FALSE
100	wlp_news_1995_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_2001_top100.txt	news	47	100	True	True	21.71472409516259	FALSE
100	wlp_news_2007_top100.txt	news	45	100	True	True	21.71472409516259	FALSE
100	wlp_news_2009_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_2005_top100.txt	news	45	100	True	True	21.71472409516259	FALSE
100	wlp_news_2010_top100.txt	news	44	100	True	True	21.71472409516259	FALSE
100	wlp_news_2002_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_2006_top100.txt	news	45	100	True	True	21.71472409516259	FALSE
100	wlp_news_1991_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_1992_top100.txt	news	47	100	True	True	21.71472409516259	FALSE
100	wlp_news_1993_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_1997_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_2011_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_1996_top100.txt	news	47	100	True	True	21.71472409516259	FALSE
100	wlp_news_2003_top100.txt	news	45	100	True	True	21.71472409516259	FALSE
100	wlp_news_1998_top100.txt	news	47	100	True	True	21.71472409516259	FALSE
100	wlp_news_2012_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_news_2000_top100.txt	news	46	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1995_top100.txt	spok	46	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1994_top100.txt	spok	46	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2005_top100.txt	spok	46	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2002_top100.txt	spok	49	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1992_top100.txt	spok	47	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1996_top100.txt	spok	45	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2000_top100.txt	spok	44	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2006_top100.txt	spok	49	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2001_top100.txt	spok	49	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2004_top100.txt	spok	46	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2012_top100.txt	spok	49	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1999_top100.txt	spok	48	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2009_top100.txt	spok	47	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2008_top100.txt	spok	47	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2010_top100.txt	spok	48	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2003_top100.txt	spok	46	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1993_top100.txt	spok	46	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1997_top100.txt	spok	48	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2011_top100.txt	spok	49	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1991_top100.txt	spok	48	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1990_top100.txt	spok	49	100	True	True	21.71472409516259	FALSE
100	wlp_spok_1998_top100.txt	spok	47	100	True	True	21.71472409516259	FALSE
100	wlp_spok_2007_top100.txt	spok	49	100	True	True	21.71472409516259	FALSE
100	wlp_cds_brown_top100.txt	cds	55	100	False	True	21.71472409516259	FALSE
100	wlp_cds_brent_top100.txt	cds	45	100	False	True	21.71472409516259	FALSE
100	wlp_cds_macwhinney_top100.txt	cds	51	100	False	True	21.71472409516259	FALSE
500	wlp_acad_2000_top500.txt	acad	76	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2010_top500.txt	acad	76	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2001_top500.txt	acad	73	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1997_top500.txt	acad	76	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1995_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1994_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2007_top500.txt	acad	79	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1998_top500.txt	acad	74	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2005_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2006_top500.txt	acad	74	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2003_top500.txt	acad	77	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2002_top500.txt	acad	73	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1996_top500.txt	acad	74	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2008_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2011_top500.txt	acad	76	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2012_top500.txt	acad	70	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1993_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1999_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1990_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1992_top500.txt	acad	73	500	True	False	80.45559624700124	TRUE
500	wlp_acad_1991_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2009_top500.txt	acad	79	500	True	False	80.45559624700124	TRUE
500	wlp_acad_2004_top500.txt	acad	75	500	True	False	80.45559624700124	TRUE
500	wlp_fic_1992_top500.txt	fic	118	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2009_top500.txt	fic	117	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2005_top500.txt	fic	122	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1999_top500.txt	fic	114	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2004_top500.txt	fic	117	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1991_top500.txt	fic	116	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1994_top500.txt	fic	120	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1998_top500.txt	fic	123	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2001_top500.txt	fic	115	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1993_top500.txt	fic	120	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2002_top500.txt	fic	116	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2008_top500.txt	fic	116	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2006_top500.txt	fic	117	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1997_top500.txt	fic	119	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2012_top500.txt	fic	116	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1995_top500.txt	fic	118	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1990_top500.txt	fic	121	500	True	True	80.45559624700124	FALSE
500	wlp_fic_1996_top500.txt	fic	118	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2010_top500.txt	fic	115	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2003_top500.txt	fic	113	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2007_top500.txt	fic	115	500	True	True	80.45559624700124	FALSE
500	wlp_fic_2000_top500.txt	fic	115	500	True	True	80.45559624700124	FALSE
