TOTAL	SHORTONLY	TYPE	VAL	tolerable
650	TRUE	theta	17.90342276770138	TRUE
650	FALSE	theta	23.40186352027363	TRUE
700	TRUE	theta	18.607947409154015	TRUE
700	FALSE	theta	24.734395435585192	FALSE
750	TRUE	theta	19.654541002016533	TRUE
750	FALSE	theta	26.380709319112476	FALSE
800	TRUE	theta	20.518027269005717	TRUE
800	FALSE	theta	28.007488312548105	FALSE
850	TRUE	theta	21.71472409516259	FALSE
850	FALSE	theta	29.456364241739358	FALSE
900	TRUE	theta	22.89833498947784	TRUE
900	FALSE	theta	30.891969944498918	FALSE
950	TRUE	theta	23.40186352027363	TRUE
950	FALSE	theta	31.68415430770235	FALSE
1000	TRUE	theta	23.903264198615982	FALSE
1000	FALSE	theta	32.47269102991489	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	5.7707801635558535	TRUE
100	FALSE	theta	7.335366744787423	FALSE
150	TRUE	theta	7.117339969270795	TRUE
150	FALSE	theta	9.027406962818835	FALSE
200	TRUE	theta	8.402845598011567	TRUE
200	FALSE	theta	10.446487954214756	FALSE
250	TRUE	theta	9.844324492195494	FALSE
250	FALSE	theta	12.39925280675178	FALSE
300	TRUE	theta	10.446487954214756	FALSE
300	FALSE	theta	13.160413202420477	FALSE
350	TRUE	theta	11.040582830640032	TRUE
350	FALSE	theta	13.911827910314273	FALSE
400	TRUE	theta	11.821378995623839	TRUE
400	FALSE	theta	15.205877713484329	FALSE
450	TRUE	theta	12.971073685346155	FALSE
450	FALSE	theta	16.835543855026316	FALSE
500	TRUE	theta	13.53728151570583	TRUE
500	FALSE	theta	17.90342276770138	FALSE
550	TRUE	theta	15.022529972530227	TRUE
550	FALSE	theta	19.827848074338686	FALSE
600	TRUE	theta	15.934577403116974	FALSE
600	FALSE	theta	21.203525305927318	FALSE
650	TRUE	theta	16.47642188866708	FALSE
650	FALSE	theta	22.054183693150854	FALSE
700	TRUE	theta	17.72639253420814	FALSE
700	FALSE	theta	23.569229892414597	FALSE
750	TRUE	theta	18.95812980169449	FALSE
750	FALSE	theta	25.065317382723492	FALSE
800	TRUE	theta	20.000845945422935	FALSE
800	FALSE	theta	26.544234482018844	FALSE
850	TRUE	theta	21.374197408356636	FALSE
850	FALSE	theta	28.330661757205146	FALSE
900	TRUE	theta	22.054183693150854	FALSE
900	FALSE	theta	29.456364241739358	FALSE
950	TRUE	theta	22.73000630239446	FALSE
950	FALSE	theta	30.41484705523397	FALSE
1000	TRUE	theta	23.40186352027363	FALSE
1000	FALSE	theta	31.52601385192723	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	5.7707801635558535	TRUE
100	FALSE	theta	7.117339969270795	FALSE
150	TRUE	theta	7.335366744787423	TRUE
150	FALSE	theta	9.437989027588253	FALSE
200	TRUE	theta	7.980119587183506	TRUE
200	FALSE	theta	10.04599127792245	FALSE
250	TRUE	theta	9.233248261689365	TRUE
250	FALSE	theta	11.6273242772036	FALSE
300	TRUE	theta	10.446487954214756	TRUE
300	FALSE	theta	13.160413202420477	FALSE
350	TRUE	theta	11.6273242772036	TRUE
350	FALSE	theta	14.654360200558338	FALSE
400	TRUE	theta	12.39925280675178	TRUE
400	FALSE	theta	16.47642188866708	FALSE
450	TRUE	theta	13.53728151570583	TRUE
450	FALSE	theta	17.72639253420814	FALSE
500	TRUE	theta	13.724838304606651	TRUE
500	FALSE	theta	18.256392913493496	FALSE
550	TRUE	theta	14.838694159804142	TRUE
550	FALSE	theta	19.654541002016533	FALSE
600	TRUE	theta	15.934577403116974	TRUE
600	FALSE	theta	20.689830729634938	FALSE
650	TRUE	theta	16.47642188866708	TRUE
650	FALSE	theta	21.71472409516259	FALSE
700	TRUE	theta	17.371211692478756	TRUE
700	FALSE	theta	23.066418850958595	FALSE
750	TRUE	theta	18.256392913493496	TRUE
750	FALSE	theta	24.402608415220122	FALSE
800	TRUE	theta	19.48092027164454	TRUE
800	FALSE	theta	25.88895560665049	FALSE
850	TRUE	theta	20.689830729634938	TRUE
850	FALSE	theta	27.521394029424094	FALSE
900	TRUE	theta	21.71472409516259	TRUE
900	FALSE	theta	28.814119855392494	FALSE
950	TRUE	theta	22.561429857571962	TRUE
950	FALSE	theta	30.25549659656227	FALSE
1000	TRUE	theta	24.06993736477499	FALSE
1000	FALSE	theta	32.157704975416145	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	6.0002541057009395	TRUE
100	FALSE	theta	7.117339969270795	FALSE
150	TRUE	theta	7.117339969270795	TRUE
150	FALSE	theta	9.027406962818835	FALSE
200	TRUE	theta	8.402845598011567	TRUE
200	FALSE	theta	10.6453783959665	FALSE
250	TRUE	theta	9.641668729745335	TRUE
250	FALSE	theta	11.821378995623839	FALSE
