lexsize	fname	genre	typecount	is_adult	is_nonacad
1042	wlp_fic_2000_top1042.txt	fic	74	True	True
1042	wlp_fic_2008_top1042.txt	fic	75	True	True
1042	wlp_mag_1995_top1042.txt	mag	69	True	True
1042	wlp_mag_2009_top1042.txt	mag	68	True	True
1042	wlp_mag_1999_top1042.txt	mag	67	True	True
1042	wlp_mag_2004_top1042.txt	mag	65	True	True
1042	wlp_mag_2011_top1042.txt	mag	67	True	True
1042	wlp_mag_2010_top1042.txt	mag	64	True	True
1042	wlp_mag_1992_top1042.txt	mag	68	True	True
1042	wlp_mag_1996_top1042.txt	mag	68	True	True
1042	wlp_mag_1994_top1042.txt	mag	67	True	True
1042	wlp_mag_1993_top1042.txt	mag	67	True	True
1042	wlp_mag_2006_top1042.txt	mag	68	True	True
1042	wlp_mag_2008_top1042.txt	mag	69	True	True
1042	wlp_mag_1991_top1042.txt	mag	69	True	True
1042	wlp_mag_2007_top1042.txt	mag	67	True	True
1042	wlp_mag_2001_top1042.txt	mag	70	True	True
1042	wlp_mag_2000_top1042.txt	mag	69	True	True
1042	wlp_mag_2002_top1042.txt	mag	70	True	True
1042	wlp_mag_1998_top1042.txt	mag	66	True	True
1042	wlp_mag_2012_top1042.txt	mag	67	True	True
1042	wlp_mag_2005_top1042.txt	mag	67	True	True
1042	wlp_mag_2003_top1042.txt	mag	69	True	True
1042	wlp_mag_1990_top1042.txt	mag	69	True	True
1042	wlp_mag_1997_top1042.txt	mag	67	True	True
1042	wlp_news_1994_top1042.txt	news	65	True	True
1042	wlp_news_2009_top1042.txt	news	63	True	True
1042	wlp_news_2010_top1042.txt	news	62	True	True
1042	wlp_news_2002_top1042.txt	news	66	True	True
1042	wlp_news_1998_top1042.txt	news	65	True	True
1042	wlp_news_2012_top1042.txt	news	61	True	True
1042	wlp_news_2001_top1042.txt	news	65	True	True
1042	wlp_news_1992_top1042.txt	news	66	True	True
1042	wlp_news_1991_top1042.txt	news	61	True	True
1042	wlp_news_2008_top1042.txt	news	63	True	True
1042	wlp_news_1997_top1042.txt	news	65	True	True
1042	wlp_news_2005_top1042.txt	news	62	True	True
1042	wlp_news_2003_top1042.txt	news	63	True	True
1042	wlp_news_1995_top1042.txt	news	66	True	True
1042	wlp_news_2006_top1042.txt	news	63	True	True
1042	wlp_news_1999_top1042.txt	news	64	True	True
1042	wlp_news_2011_top1042.txt	news	65	True	True
1042	wlp_news_2004_top1042.txt	news	62	True	True
1042	wlp_news_2007_top1042.txt	news	64	True	True
1042	wlp_news_2000_top1042.txt	news	65	True	True
1042	wlp_news_1996_top1042.txt	news	64	True	True
1042	wlp_news_1993_top1042.txt	news	67	True	True
1042	wlp_news_1990_top1042.txt	news	64	True	True
1042	wlp_spok_1991_top1042.txt	spok	62	True	True
1042	wlp_spok_1996_top1042.txt	spok	60	True	True
1042	wlp_spok_2006_top1042.txt	spok	61	True	True
1042	wlp_spok_1992_top1042.txt	spok	63	True	True
1042	wlp_spok_1998_top1042.txt	spok	62	True	True
1042	wlp_spok_2003_top1042.txt	spok	60	True	True
1042	wlp_spok_2009_top1042.txt	spok	64	True	True
1042	wlp_spok_2011_top1042.txt	spok	62	True	True
1042	wlp_spok_2010_top1042.txt	spok	61	True	True
1042	wlp_spok_2008_top1042.txt	spok	62	True	True
1042	wlp_spok_2005_top1042.txt	spok	62	True	True
1042	wlp_spok_1990_top1042.txt	spok	59	True	True
1042	wlp_spok_1993_top1042.txt	spok	61	True	True
1042	wlp_spok_1995_top1042.txt	spok	65	True	True
1042	wlp_spok_1994_top1042.txt	spok	60	True	True
1042	wlp_spok_1997_top1042.txt	spok	63	True	True
1042	wlp_spok_2000_top1042.txt	spok	62	True	True
1042	wlp_spok_1999_top1042.txt	spok	64	True	True
1042	wlp_spok_2012_top1042.txt	spok	62	True	True
1042	wlp_spok_2007_top1042.txt	spok	63	True	True
1042	wlp_spok_2004_top1042.txt	spok	62	True	True
1042	wlp_spok_2002_top1042.txt	spok	62	True	True
1042	wlp_spok_2001_top1042.txt	spok	64	True	True
1042	wlp_cds_macwhinney_top1042.txt	cds	69	False	True
1042	wlp_cds_brent_top1042.txt	cds	70	False	True
1042	wlp_cds_brown_top1042.txt	cds	69	False	True
All	wlp_acad_1996_top12000.txt	acad	95	True	False
All	wlp_acad_2001_top12000.txt	acad	95	True	False
All	wlp_acad_2005_top12000.txt	acad	94	True	False
All	wlp_acad_1991_top12000.txt	acad	93	True	False
All	wlp_acad_1994_top12000.txt	acad	97	True	False
All	wlp_acad_1993_top12000.txt	acad	98	True	False
All	wlp_acad_2008_top12000.txt	acad	96	True	False
All	wlp_acad_2004_top12000.txt	acad	95	True	False
All	wlp_acad_1995_top12000.txt	acad	96	True	False
All	wlp_acad_2009_top12000.txt	acad	95	True	False
All	wlp_acad_1997_top12000.txt	acad	97	True	False
All	wlp_acad_1998_top12000.txt	acad	97	True	False
All	wlp_acad_2003_top12000.txt	acad	96	True	False
All	wlp_acad_2010_top12000.txt	acad	98	True	False
All	wlp_acad_2002_top12000.txt	acad	96	True	False
All	wlp_acad_2011_top12000.txt	acad	96	True	False
All	wlp_acad_2007_top12000.txt	acad	97	True	False
All	wlp_acad_1990_top12000.txt	acad	96	True	False
All	wlp_acad_1999_top12000.txt	acad	96	True	False
All	wlp_acad_2012_top12000.txt	acad	88	True	False
All	wlp_acad_2000_top12000.txt	acad	96	True	False
All	wlp_acad_1992_top12000.txt	acad	94	True	False
All	wlp_acad_2006_top12000.txt	acad	95	True	False
All	wlp_fic_1995_top12000.txt	fic	99	True	True
All	wlp_fic_2006_top12000.txt	fic	98	True	True
All	wlp_fic_2012_top12000.txt	fic	99	True	True
All	wlp_fic_1998_top12000.txt	fic	98	True	True
All	wlp_fic_1990_top12000.txt	fic	98	True	True
All	wlp_fic_2000_top12000.txt	fic	98	True	True
All	wlp_fic_1999_top12000.txt	fic	97	True	True
All	wlp_fic_2005_top12000.txt	fic	98	True	True
All	wlp_fic_1996_top12000.txt	fic	98	True	True
All	wlp_fic_2004_top12000.txt	fic	97	True	True
All	wlp_fic_2001_top12000.txt	fic	98	True	True
All	wlp_fic_2003_top12000.txt	fic	99	True	True
All	wlp_fic_2002_top12000.txt	fic	98	True	True
All	wlp_fic_2009_top12000.txt	fic	98	True	True
All	wlp_fic_1994_top12000.txt	fic	98	True	True
All	wlp_fic_1992_top12000.txt	fic	98	True	True
All	wlp_fic_2007_top12000.txt	fic	98	True	True
All	wlp_fic_2010_top12000.txt	fic	98	True	True
All	wlp_fic_1993_top12000.txt	fic	97	True	True
All	wlp_fic_2008_top12000.txt	fic	97	True	True
All	wlp_fic_2011_top12000.txt	fic	97	True	True
All	wlp_fic_1991_top12000.txt	fic	98	True	True
All	wlp_fic_1997_top12000.txt	fic	99	True	True
All	wlp_mag_1993_top12000.txt	mag	98	True	True
All	wlp_mag_2012_top12000.txt	mag	95	True	True
All	wlp_mag_2001_top12000.txt	mag	98	True	True
All	wlp_mag_2000_top12000.txt	mag	98	True	True
All	wlp_mag_2010_top12000.txt	mag	98	True	True
All	wlp_mag_1995_top12000.txt	mag	98	True	True
All	wlp_mag_2005_top12000.txt	mag	97	True	True
All	wlp_mag_2003_top12000.txt	mag	98	True	True
All	wlp_mag_2002_top12000.txt	mag	98	True	True
All	wlp_mag_2011_top12000.txt	mag	99	True	True
All	wlp_mag_1994_top12000.txt	mag	98	True	True
All	wlp_mag_1990_top12000.txt	mag	98	True	True
All	wlp_mag_2009_top12000.txt	mag	98	True	True
All	wlp_mag_2008_top12000.txt	mag	98	True	True
All	wlp_mag_1991_top12000.txt	mag	98	True	True
All	wlp_mag_2007_top12000.txt	mag	100	True	True
All	wlp_mag_1999_top12000.txt	mag	98	True	True
All	wlp_mag_2006_top12000.txt	mag	98	True	True
All	wlp_mag_1997_top12000.txt	mag	98	True	True
All	wlp_mag_1998_top12000.txt	mag	98	True	True
All	wlp_mag_1992_top12000.txt	mag	98	True	True
All	wlp_mag_2004_top12000.txt	mag	98	True	True
All	wlp_mag_1996_top12000.txt	mag	99	True	True
All	wlp_news_1993_top12000.txt	news	98	True	True
All	wlp_news_1995_top12000.txt	news	97	True	True
All	wlp_news_2010_top12000.txt	news	95	True	True
All	wlp_news_2004_top12000.txt	news	98	True	True
All	wlp_news_2001_top12000.txt	news	99	True	True
All	wlp_news_2003_top12000.txt	news	99	True	True
All	wlp_news_1997_top12000.txt	news	98	True	True
All	wlp_news_1990_top12000.txt	news	97	True	True
All	wlp_news_2002_top12000.txt	news	97	True	True
All	wlp_news_2007_top12000.txt	news	98	True	True
All	wlp_news_2011_top12000.txt	news	97	True	True
All	wlp_news_2009_top12000.txt	news	95	True	True
All	wlp_news_2012_top12000.txt	news	96	True	True
All	wlp_news_2006_top12000.txt	news	99	True	True
All	wlp_news_2008_top12000.txt	news	98	True	True
All	wlp_news_2005_top12000.txt	news	97	True	True
All	wlp_news_1999_top12000.txt	news	96	True	True
All	wlp_news_1992_top12000.txt	news	98	True	True
All	wlp_news_1991_top12000.txt	news	98	True	True
All	wlp_news_1996_top12000.txt	news	98	True	True
All	wlp_news_1998_top12000.txt	news	97	True	True
All	wlp_news_2000_top12000.txt	news	97	True	True
All	wlp_news_1994_top12000.txt	news	97	True	True
All	wlp_spok_2012_top12000.txt	spok	92	True	True
All	wlp_spok_2002_top12000.txt	spok	95	True	True
All	wlp_spok_1994_top12000.txt	spok	95	True	True
All	wlp_spok_1999_top12000.txt	spok	95	True	True
All	wlp_spok_2005_top12000.txt	spok	93	True	True
All	wlp_spok_2000_top12000.txt	spok	93	True	True
All	wlp_spok_2007_top12000.txt	spok	91	True	True
All	wlp_spok_2004_top12000.txt	spok	96	True	True
All	wlp_spok_1998_top12000.txt	spok	92	True	True
All	wlp_spok_1993_top12000.txt	spok	94	True	True
All	wlp_spok_2009_top12000.txt	spok	91	True	True
All	wlp_spok_1992_top12000.txt	spok	95	True	True
All	wlp_spok_2006_top12000.txt	spok	95	True	True
All	wlp_spok_1996_top12000.txt	spok	95	True	True
All	wlp_spok_2003_top12000.txt	spok	95	True	True
All	wlp_spok_2001_top12000.txt	spok	96	True	True
All	wlp_spok_2008_top12000.txt	spok	95	True	True
All	wlp_spok_1995_top12000.txt	spok	96	True	True
All	wlp_spok_2010_top12000.txt	spok	96	True	True
All	wlp_spok_2011_top12000.txt	spok	93	True	True
All	wlp_spok_1991_top12000.txt	spok	95	True	True
All	wlp_spok_1997_top12000.txt	spok	97	True	True
All	wlp_spok_1990_top12000.txt	spok	95	True	True
All	wlp_cds_macwhinney_top12000.txt	cds	69	False	True
All	wlp_cds_brent_top12000.txt	cds	70	False	True
All	wlp_cds_brown_top12000.txt	cds	69	False	True
